"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/13/2018","AQS","180970043","2","29","ug/m3 SC","27","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"06/19/2018","AQS","180970043","2","51","ug/m3 SC","47","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"06/25/2018","AQS","180970043","2","41","ug/m3 SC","38","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/01/2018","AQS","180970043","2","21","ug/m3 SC","19","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/07/2018","AQS","180970043","2","17","ug/m3 SC","16","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/13/2018","AQS","180970043","2","55","ug/m3 SC","51","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/19/2018","AQS","180970043","2","37","ug/m3 SC","34","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/25/2018","AQS","180970043","2","36","ug/m3 SC","33","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/31/2018","AQS","180970043","2","11","ug/m3 SC","10","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/06/2018","AQS","180970043","2","35","ug/m3 SC","32","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/12/2018","AQS","180970043","2","28","ug/m3 SC","26","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/18/2018","AQS","180970043","2","17","ug/m3 SC","16","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/24/2018","AQS","180970043","2","31","ug/m3 SC","29","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/30/2018","AQS","180970043","2","27","ug/m3 SC","25","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/05/2018","AQS","180970043","2","36","ug/m3 SC","33","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/11/2018","AQS","180970043","2","34","ug/m3 SC","31","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/17/2018","AQS","180970043","2","46","ug/m3 SC","43","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/23/2018","AQS","180970043","2","14","ug/m3 SC","13","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/29/2018","AQS","180970043","2","15","ug/m3 SC","14","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/05/2018","AQS","180970043","2","19","ug/m3 SC","18","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/11/2018","AQS","180970043","2","17","ug/m3 SC","16","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/17/2018","AQS","180970043","2","24","ug/m3 SC","22","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/23/2018","AQS","180970043","2","29","ug/m3 SC","27","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/29/2018","AQS","180970043","2","30","ug/m3 SC","28","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
