"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/07/2018","AQS","180970043","1","39","ug/m3 SC","36","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"06/13/2018","AQS","180970043","1","28","ug/m3 SC","26","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"06/19/2018","AQS","180970043","1","49","ug/m3 SC","45","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"06/25/2018","AQS","180970043","1","42","ug/m3 SC","39","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/01/2018","AQS","180970043","1","21","ug/m3 SC","19","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/07/2018","AQS","180970043","1","16","ug/m3 SC","15","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/13/2018","AQS","180970043","1","55","ug/m3 SC","51","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/19/2018","AQS","180970043","1","37","ug/m3 SC","34","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/25/2018","AQS","180970043","1","35","ug/m3 SC","32","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"07/31/2018","AQS","180970043","1","11","ug/m3 SC","10","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/06/2018","AQS","180970043","1","35","ug/m3 SC","32","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/12/2018","AQS","180970043","1","27","ug/m3 SC","25","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/18/2018","AQS","180970043","1","17","ug/m3 SC","16","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/24/2018","AQS","180970043","1","32","ug/m3 SC","30","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"08/30/2018","AQS","180970043","1","28","ug/m3 SC","26","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/05/2018","AQS","180970043","1","36","ug/m3 SC","33","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/11/2018","AQS","180970043","1","34","ug/m3 SC","31","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/17/2018","AQS","180970043","1","46","ug/m3 SC","43","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
