"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/11/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/12/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/13/2015","AQS","180970072","1","0.6","ppm","7","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/14/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/15/2015","AQS","180970072","1","1.7","ppm","19","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/16/2015","AQS","180970072","1","1.3","ppm","15","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/17/2015","AQS","180970072","1","1.1","ppm","13","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/18/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/19/2015","AQS","180970072","1","1.1","ppm","13","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/28/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","21","88.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/29/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/30/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"01/31/2015","AQS","180970072","1","1.5","ppm","17","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/01/2015","AQS","180970072","1","1.2","ppm","14","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/02/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/04/2015","AQS","180970072","1","1.1","ppm","13","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/05/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/06/2015","AQS","180970072","1","1.2","ppm","14","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/07/2015","AQS","180970072","1","1.1","ppm","13","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/08/2015","AQS","180970072","1","1.2","ppm","14","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/09/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/10/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/11/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/12/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/13/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/14/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/15/2015","AQS","180970072","1","0.7","ppm","8","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/16/2015","AQS","180970072","1","0.6","ppm","7","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/17/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/18/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/19/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/20/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/21/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/22/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/23/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/24/2015","AQS","180970072","1","0.9","ppm","10","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/25/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/26/2015","AQS","180970072","1","0.8","ppm","9","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/27/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"02/28/2015","AQS","180970072","1","1","ppm","11","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"03/01/2015","AQS","180970072","1","1.1","ppm","13","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"03/02/2015","AQS","180970072","1","1.2","ppm","14","Indpls.- Illinois St.","18","75.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
"03/03/2015","AQS","180970072","1","1.7","ppm","19","Indpls.- Illinois St.","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7680560009278","-86.16"
