"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/28/2019","AQS","180970050","1","0.031","ppm","29","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/29/2019","AQS","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/30/2019","AQS","180970050","1","0.028","ppm","26","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"01/31/2019","AQS","180970050","1","0.024","ppm","22","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/01/2019","AQS","180970050","1","0.021","ppm","19","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/02/2019","AQS","180970050","1","0.018","ppm","17","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/03/2019","AQS","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/04/2019","AQS","180970050","1","0.017","ppm","16","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/05/2019","AQS","180970050","1","0.014","ppm","13","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/06/2019","AQS","180970050","1","0.001","ppm","1","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
